2019-05-21 23:10:23 iter:251, accuracy=22.27%
2019-05-21 23:10:29 iter:252, accuracy=20.7%
2019-05-21 23:10:36 iter:253, accuracy=19.53%
2019-05-21 23:10:41 iter:254, accuracy=25.39%
2019-05-21 23:10:47 iter:255, accuracy=21.09%
2019-05-21 23:10:54 iter:256, accuracy=23.83%
2019-05-21 23:11:00 iter:257, accuracy=23.24%
2019-05-21 23:11:06 iter:258, accuracy=19.14%
2019-05-21 23:11:12 iter:259, accuracy=22.27%
2019-05-21 23:11:18 iter:260, accuracy=22.27%
2019-05-21 23:11:26 iter:261, accuracy=25.98%
2019-05-21 23:11:32 iter:262, accuracy=22.85%
2019-05-21 23:11:39 iter:263, accuracy=21.68%
2019-05-21 23:11:45 iter:264, accuracy=21.09%
2019-05-21 23:11:51 iter:265, accuracy=23.24%
2019-05-21 23:11:58 iter:266, accuracy=22.66%
2019-05-21 23:12:05 iter:267, accuracy=23.63%
2019-05-21 23:12:12 iter:268, accuracy=19.73%
2019-05-21 23:12:19 iter:269, accuracy=23.24%
2019-05-21 23:12:25 iter:270, accuracy=23.44%
2019-05-21 23:12:33 iter:271, accuracy=21.68%
2019-05-21 23:12:41 iter:272, accuracy=23.44%
2019-05-21 23:12:48 iter:273, accuracy=21.68%
2019-05-21 23:12:55 iter:274, accuracy=23.63%
2019-05-21 23:13:03 iter:275, accuracy=21.68%
2019-05-21 23:13:11 iter:276, accuracy=22.85%
2019-05-21 23:13:19 iter:277, accuracy=21.88%
2019-05-21 23:13:26 iter:278, accuracy=22.27%
2019-05-21 23:13:35 iter:279, accuracy=24.8%
2019-05-21 23:13:44 iter:280, accuracy=25.0%
2019-05-21 23:13:53 iter:281, accuracy=20.12%
2019-05-21 23:14:02 iter:282, accuracy=21.09%
2019-05-21 23:14:12 iter:283, accuracy=23.24%
2019-05-21 23:14:23 iter:284, accuracy=22.66%
2019-05-21 23:14:36 iter:285, accuracy=20.51%
2019-05-21 23:14:50 iter:286, accuracy=24.61%
2019-05-21 23:15:05 iter:287, accuracy=25.59%
2019-05-21 23:15:26 iter:288, accuracy=23.05%
2019-05-21 23:15:57 iter:289, accuracy=26.76%
2019-05-21 23:19:41 iter:290, accuracy=23.63%
2019-05-21 23:19:46 iter:291, accuracy=23.24%
2019-05-21 23:19:51 iter:292, accuracy=23.83%
2019-05-21 23:19:57 iter:293, accuracy=18.95%
2019-05-21 23:20:02 iter:294, accuracy=20.7%
2019-05-21 23:20:07 iter:295, accuracy=26.56%
2019-05-21 23:20:13 iter:296, accuracy=23.44%
2019-05-21 23:20:19 iter:297, accuracy=24.61%
2019-05-21 23:20:24 iter:298, accuracy=21.88%
2019-05-21 23:20:30 iter:299, accuracy=23.83%
2019-05-21 23:20:35 iter:300, accuracy=21.29%
2019-05-21 23:20:40 iter:301, accuracy=25.2%
2019-05-21 23:20:46 iter:302, accuracy=20.9%
2019-05-21 23:20:51 iter:303, accuracy=24.02%
2019-05-21 23:20:57 iter:304, accuracy=20.9%
2019-05-21 23:21:03 iter:305, accuracy=25.59%
2019-05-21 23:21:08 iter:306, accuracy=25.59%
2019-05-21 23:21:14 iter:307, accuracy=27.34%
2019-05-21 23:21:20 iter:308, accuracy=21.29%
2019-05-21 23:21:25 iter:309, accuracy=25.59%
2019-05-21 23:21:31 iter:310, accuracy=23.05%
2019-05-21 23:21:36 iter:311, accuracy=24.22%
2019-05-21 23:21:42 iter:312, accuracy=27.93%
2019-05-21 23:21:48 iter:313, accuracy=22.85%
2019-05-21 23:21:53 iter:314, accuracy=26.37%
2019-05-21 23:21:59 iter:315, accuracy=25.59%
2019-05-21 23:22:05 iter:316, accuracy=27.54%
2019-05-21 23:22:10 iter:317, accuracy=23.44%
2019-05-21 23:22:16 iter:318, accuracy=25.39%
2019-05-21 23:22:21 iter:319, accuracy=21.68%
2019-05-21 23:22:27 iter:320, accuracy=25.0%
2019-05-21 23:22:33 iter:321, accuracy=25.39%
2019-05-21 23:22:39 iter:322, accuracy=21.88%
2019-05-21 23:22:44 iter:323, accuracy=22.27%
2019-05-21 23:22:50 iter:324, accuracy=23.83%
2019-05-21 23:22:56 iter:325, accuracy=26.17%
2019-05-21 23:23:01 iter:326, accuracy=24.61%
2019-05-21 23:23:07 iter:327, accuracy=20.51%
2019-05-21 23:23:13 iter:328, accuracy=25.98%
2019-05-21 23:23:18 iter:329, accuracy=26.17%
2019-05-21 23:23:24 iter:330, accuracy=23.44%
2019-05-21 23:23:30 iter:331, accuracy=23.63%
2019-05-21 23:23:36 iter:332, accuracy=25.2%
2019-05-21 23:23:42 iter:333, accuracy=22.66%
2019-05-21 23:23:47 iter:334, accuracy=24.8%
2019-05-21 23:23:53 iter:335, accuracy=25.0%
2019-05-21 23:23:59 iter:336, accuracy=25.2%
2019-05-21 23:24:05 iter:337, accuracy=23.24%
2019-05-21 23:24:12 iter:338, accuracy=20.9%
2019-05-21 23:24:17 iter:339, accuracy=27.73%
2019-05-21 23:24:23 iter:340, accuracy=25.39%
2019-05-21 23:24:29 iter:341, accuracy=23.44%
2019-05-21 23:24:35 iter:342, accuracy=25.39%
2019-05-21 23:24:41 iter:343, accuracy=23.05%
